date,total_cases_portugal,total_deaths_portugal,cfr_portugal,total_cases_mundo,total_deaths_mundo,cfr_mundo
2020-03-22,1723,26,1.5089959373186304,338404,15985,4.723643928558764
2020-03-23,1723,26,1.5089959373186304,360848,17179,4.7607302797853945
2020-03-24,1723,26,1.5089959373186304,387384,18415,4.753681101955682
2020-03-25,1723,26,1.5089959373186304,417387,19911,4.7703929446772415
2020-03-26,1723,26,1.5089959373186304,448661,21509,4.794042718221553
2020-03-27,1723,26,1.5089959373186304,486652,23339,4.79582946335369
2020-03-28,1723,26,1.5089959373186304,531301,25598,4.817984532308428
2020-03-29,5449,150,2.7527986786566343,689774,38270,5.548194046165846
2020-03-30,5449,150,2.7527986786566343,732978,40689,5.551189803786745
2020-03-31,5449,150,2.7527986786566343,781863,43589,5.575017618176075
2020-04-01,5449,150,2.7527986786566343,825761,46615,5.645095857033694
2020-04-02,5449,150,2.7527986786566343,877793,50036,5.700204945812965
2020-04-03,5449,150,2.7527986786566343,936694,53831,5.746914146989305
2020-04-04,5449,150,2.7527986786566343,997479,57962,5.810849150708938
2020-04-05,10494,356,3.39241471316943,1155876,75112,6.498274901460019
2020-04-06,10494,356,3.39241471316943,1215647,79512,6.540714533084029
2020-04-07,10494,356,3.39241471316943,1270298,84390,6.643323062777395
2020-04-08,10494,356,3.39241471316943,1330666,89110,6.696646641606534
2020-04-09,10494,356,3.39241471316943,1394237,94402,6.770871810172877
2020-04-10,10494,356,3.39241471316943,1463847,100106,6.838556215232876
2020-04-11,10494,356,3.39241471316943,1536533,105714,6.880034467206367
2020-04-12,14927,602,4.032960407315603,1679945,122785,7.308870230870654
2020-04-13,14927,602,4.032960407315603,1744257,128286,7.354764808167603
2020-04-14,14927,602,4.032960407315603,1801915,133495,7.408507060543921
2020-04-15,14927,602,4.032960407315603,1859027,138872,7.470144328188886
2020-04-16,14927,602,4.032960407315603,1921488,144739,7.532651778205224
2020-04-17,14927,602,4.032960407315603,1988500,150954,7.591350264018104
2020-04-18,14927,602,4.032960407315603,2062457,158270,7.673856957987487
2020-04-19,19168,819,4.272746243739566,2186711,172738,7.899443502136314
2020-04-20,19168,819,4.272746243739566,2253071,177825,7.892560864704219
2020-04-21,19168,819,4.272746243739566,2317657,183005,7.896120953186775
2020-04-22,19168,819,4.272746243739566,2382908,188470,7.909243663624445
2020-04-23,19168,819,4.272746243739566,2449776,194378,7.93452136032029
2020-04-24,19168,819,4.272746243739566,2522245,199962,7.92793721466392
2020-04-25,19168,819,4.272746243739566,2611390,205451,7.867495854698073
2020-04-26,22349,1006,4.501319969573583,2726697,217141,7.963517765266914
2020-04-27,22349,1006,4.501319969573583,2802727,222095,7.924246635508917
2020-04-28,22349,1006,4.501319969573583,2867965,226729,7.9055706746769925
2020-04-29,22349,1006,4.501319969573583,2933066,231662,7.898288003065734
2020-04-30,22349,1006,4.501319969573583,3003692,237118,7.894218182157159
2020-05-01,22349,1006,4.501319969573583,3079649,242844,7.885444087946386
2020-05-02,22349,1006,4.501319969573583,3163380,248440,7.853624920180313
2020-05-03,24720,1146,4.635922330097087,3272123,258270,7.893040695597323
2020-05-04,24720,1146,4.635922330097087,3349696,263063,7.853339526930204
2020-05-05,24720,1146,4.635922330097087,3426067,267513,7.808166039951933
2020-05-06,24720,1146,4.635922330097087,3498658,271937,7.772608811721524
2020-05-07,24720,1146,4.635922330097087,3573713,277978,7.778408618711127
2020-05-08,24720,1146,4.635922330097087,3658539,283769,7.756347547477286
2020-05-09,24720,1146,4.635922330097087,3746028,289321,7.723407299678486
2020-05-10,27046,1226,4.533017821489314,3853351,297187,7.71243003816678
2020-05-11,27046,1226,4.533017821489314,3939057,302355,7.675821903567274
2020-05-12,27046,1226,4.533017821489314,4009341,306546,7.6457951568599425
2020-05-13,27046,1226,4.533017821489314,4085272,310678,7.604830229174459
2020-05-14,27046,1226,4.533017821489314,4168146,315776,7.575934240307321
2020-05-15,27046,1226,4.533017821489314,4251991,320701,7.5423725026699255
2020-05-16,27046,1226,4.533017821489314,4350806,326202,7.497507358406695
2020-05-17,28899,1295,4.481123914322295,4463547,333348,7.468230983117238
2020-05-18,28899,1295,4.481123914322295,4557243,338036,7.417554868151644
2020-05-19,28899,1295,4.481123914322295,4633887,341966,7.379679305947685
2020-05-20,28899,1295,4.481123914322295,4725588,346272,7.3275960578873995
2020-05-21,28899,1295,4.481123914322295,4825820,351366,7.2809595053275915
2020-05-22,28899,1295,4.481123914322295,4931190,356370,7.226855992164164
2020-05-23,28899,1295,4.481123914322295,5035071,361301,7.17568828721581
2020-05-24,30907,1363,4.410004206166888,5159929,368091,7.133644668366561
2020-05-25,30907,1363,4.410004206166888,5255404,372316,7.084441081979616
2020-05-26,30907,1363,4.410004206166888,5346490,376372,7.039609164143204
2020-05-27,30907,1363,4.410004206166888,5433599,380518,7.003056353624918
2020-05-28,30907,1363,4.410004206166888,5530044,385115,6.964049472300762
